,bal0,bal1,bal2,bal3,bal4,bal5,bal6,elev0,elev1,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,roomarea4,roomarea5,roomarea6,rooms,slavnum,ulavnum,view
0,1 лодж,,,,,,,2 груз,,12,13,"новостройка,монолитный",5.0,55.790647,35.2,37.524314,свободная,46.2,,7810192,,22.0,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
1,1 лодж,,,,,,,1 пасс,1 груз,4,22,"вторичка,панельный",9.8,55.665543,19.0,37.453351,свободная,38.0,,6700000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,улица
2,,,,,,,,1 пасс,,2,7,"вторичка,кирпичный",5.5,55.797017,19.0,37.569719,альтернатива,31.0,наземная,7200000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,двориулица
3,1 лодж,,,,,,,,,3,5,"вторичка,кирпичный",6.0,55.611958,30.0,37.288007,свободная,43.3,наземная,5950000,,,,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
4,1 лодж,,,,,,,1 пасс,1 груз,7,17,"вторичка,панельный",9.0,55.646589,32.0,37.758626,свободная,54.0,,8450000,,14.5,17.5,0.0,0.0,0.0,0.0,0.0,2,1.0,,улица
5,нет,,,,,,,,,3,23,"новостройка,панельный",,55.863303,,37.366493,свободная,37.4,,4594330,,,0.0,0.0,0.0,0.0,0.0,0.0,1,,,
6,1 балк,,,,,,,1 пасс,,7,9,вторичка,6.1,55.708557,30.5,37.814196,свободная,46.8,наземная,5600000,,18.9,11.6,0.0,0.0,0.0,0.0,0.0,2,1.0,,двор
7,,,,,,,,1 пасс,1 груз,1,8,новостройка,,55.78112,,37.570296,свободная,35.3,,9097475,"(4, 2017)",,0.0,0.0,0.0,0.0,0.0,0.0,1,,,двориулица
8,,,,,,,,1 пасс,1 груз,1,6,"новостройка,кирпично-монолитный",10.0,55.736909,65.5,37.62599,214,101.0,,28859000,"(2, 2019)",37.0,,0.0,0.0,0.0,0.0,0.0,2,,2.0,улица
9,1 балк,,,,,,,,,5,5,"вторичка,панельный",5.8,55.87891,29.5,37.519764,свободная,45.7,наземная,6300000,,10.6,18.9,0.0,0.0,0.0,0.0,0.0,2,,1.0,двор
10,нет,,,,,,,1 пасс,1 груз,6,17,вторичка,8.5,55.694079,19.0,37.504483,свободная,38.0,,8750000,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,
11,1 балк,,,,,,,1 пасс,,9,9,"вторичка,кирпичный",6.0,55.735976,18.0,37.528738,свободная,33.0,наземная,6750000,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,1.0,двор
