,bal0,bal1,bal2,bal3,elev0,elev1,flat_url,floor,hfloor,htype,kitarea,lat,livarea,lon,offertype,overallarea,parktype,price,rdate,roomarea0,roomarea1,roomarea2,roomarea3,rooms,slavnum,ulavnum,view
0,,,,,2 пасс,,http://www.cian.ru/sale/flat/31158628/,2,10,"вторичка,кирпичный",7.0,55.763067,27.0,37.605831,свободная,37.0,,15500000,,17.0,10.0,0.0,0.0,2,,1.0,двор
1,1 балк,,,,2 пасс,2 груз,http://www.cian.ru/sale/flat/142411682/,11,22,"вторичка,кирпично-монолитный",10.0,55.925672,43.0,37.544396,свободная,73.0,,9990000,,18.0,14.0,11.0,0.0,3,1.0,,двориулица
2,,,,,,,http://www.cian.ru/sale/flat/146034526/,1,5,"вторичка,панельный",6.0,55.77634,26.0,37.495177,альтернатива,42.0,,7700000,,18.0,8.0,0.0,0.0,2,,1.0,двориулица
3,1 балк,,,,1 пасс,,http://www.cian.ru/sale/flat/151944809/,4,9,"вторичка,панельный",7.0,55.616209,36.0,37.706452,свободная,60.0,,9100000,,36.0,,,0.0,3,1.0,,двор
4,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/149703671/,10,14,"вторичка,кирпичный",7.0,55.747024,19.0,37.567563,свободная,43.0,наземная,14800000,,19.0,0.0,0.0,0.0,1,1.0,,двор
5,,,,,1 груз,,http://www.cian.ru/sale/flat/13180330/,3,4,"вторичка,кирпичный",17.0,55.750054,177.0,37.596776,свободная,206.0,,137000000,,90.0,33.0,27.0,27.0,5,,2.0,двориулица
6,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/140345457/,13,15,"новостройка,монолитный",11.1,55.848134,17.9,37.637506,свободная,42.4,,9669802,,17.0,0.0,0.0,0.0,1,,1.0,двор
7,1 лодж,,,,1 пасс,,http://www.cian.ru/sale/flat/145349782/,5,12,"вторичка,кирпичный",8.0,55.773727,27.7,37.641054,свободная,52.0,,13800000,,11.0,,0.0,0.0,2,1.0,,двор
8,,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/37789342/,6,9,"вторичка,кирпичный",,55.797787,40.0,37.497153,свободная,47.2,подземная,12900000,,40.0,0.0,0.0,0.0,1,,1.0,двор
9,1 лодж,,,,1 пасс,1 груз,http://www.cian.ru/sale/flat/150835438/,8,14,"вторичка,панельный",6.0,55.639248,24.0,37.543955,альтернатива,38.3,наземная,7500000,,14.0,10.0,0.0,0.0,2,1.0,,двориулица
